student,type,id,value,group,label
ctrlC_ref_s1,ctrlC_ref,gsm8k-103,-0.7862065818744843,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-104,-0.45471047188277325,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-105,-0.9665945354825488,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-106,-0.6941266808307527,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-107,-0.5157511464868397,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-108,-0.7885664971458428,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-109,-1.0910377139487086,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-11,-0.3426727299088085,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-110,-0.3067705074833774,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-111,-0.7521741520314273,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-112,-0.78828798683374,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-113,-0.6182406057065799,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-114,-0.579221327867621,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-115,-0.6712775298604028,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-116,-0.8278592928613804,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-117,-1.3466679591047666,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-118,-0.607486095152028,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-119,-0.38421409176844645,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-12,-1.24195223156183,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-120,-0.5364409660440196,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-121,-0.6134461884451506,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-122,-0.39640489939122714,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-123,-0.5385871959425171,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-124,-0.6772123648009605,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-125,-0.7155166382270428,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-126,-0.842428220624923,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-127,-0.8125691803059103,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-128,-0.5573967874713122,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-129,-0.2698056170082957,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-13,-1.282568515272631,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-130,-0.6081411720077491,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-131,-0.48187854274580316,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-132,-0.8324428040080495,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-133,-0.6652327818820751,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-134,-1.31069061983722,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-135,-0.6841789431637767,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-136,-1.031526751942128,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-137,-1.0779543653174795,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-138,-0.70184624704695,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-139,-0.9158398718639436,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-14,-0.5455966095627188,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-140,-0.8872522043871262,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-141,-0.9092723349015288,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-142,-0.8779552797053485,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-143,-0.47979702584580425,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-144,-0.7581558544658866,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-145,-0.5604194044450359,non-distilled control,Human-ref control
