threshold,fpr,tpr,stratum,method
0.13035364377267816,0.0016666666666666668,0.09722222222222222,all distilled,CML
0.13019918450159074,0.0016666666666666668,0.09777777777777778,all distilled,CML
0.13017680438265217,0.0016666666666666668,0.09833333333333333,all distilled,CML
0.12982842790782084,0.0016666666666666668,0.09888888888888889,all distilled,CML
0.12969636190000688,0.0016666666666666668,0.09944444444444445,all distilled,CML
0.12868461245133936,0.0016666666666666668,0.1,all distilled,CML
0.1281213598588299,0.0016666666666666668,0.10055555555555555,all distilled,CML
0.1277758022648752,0.0016666666666666668,0.10111111111111111,all distilled,CML
0.12723484753149616,0.0016666666666666668,0.10166666666666667,all distilled,CML
0.12619477294624104,0.0016666666666666668,0.10222222222222223,all distilled,CML
0.12619058689119605,0.0016666666666666668,0.10277777777777777,all distilled,CML
0.12591847266720366,0.0016666666666666668,0.10333333333333333,all distilled,CML
0.12562852376117406,0.0016666666666666668,0.10388888888888889,all distilled,CML
0.12538077070760134,0.0016666666666666668,0.10444444444444445,all distilled,CML
0.12521622127493484,0.0016666666666666668,0.105,all distilled,CML
0.12496335111030554,0.0016666666666666668,0.10555555555555556,all distilled,CML
0.12244667894497069,0.0016666666666666668,0.10611111111111111,all distilled,CML
0.12013324344268922,0.0016666666666666668,0.10666666666666667,all distilled,CML
0.1198430222143671,0.0016666666666666668,0.10722222222222222,all distilled,CML
0.11978253489254656,0.0016666666666666668,0.10777777777777778,all distilled,CML
0.11961237022928817,0.0016666666666666668,0.10833333333333334,all distilled,CML
0.11958261297870695,0.0016666666666666668,0.10888888888888888,all distilled,CML
0.11945969106949658,0.0016666666666666668,0.10944444444444444,all distilled,CML
0.11916735241658394,0.0016666666666666668,0.11,all distilled,CML
0.11862560190328464,0.0016666666666666668,0.11055555555555556,all distilled,CML
0.11859250588846265,0.0016666666666666668,0.1111111111111111,all distilled,CML
0.11819183796086496,0.0016666666666666668,0.11166666666666666,all distilled,CML
0.11791404226350305,0.0016666666666666668,0.11222222222222222,all distilled,CML
0.11786091520226694,0.0016666666666666668,0.11277777777777778,all distilled,CML
0.11783216159757448,0.0016666666666666668,0.11333333333333333,all distilled,CML
0.11778157164083869,0.0016666666666666668,0.11388888888888889,all distilled,CML
0.1175086741575479,0.0016666666666666668,0.11444444444444445,all distilled,CML
0.11659650562523113,0.0016666666666666668,0.115,all distilled,CML
0.11563074627175057,0.0016666666666666668,0.11555555555555555,all distilled,CML
0.115005595215429,0.0016666666666666668,0.11611111111111111,all distilled,CML
0.11453891873194028,0.0016666666666666668,0.11666666666666667,all distilled,CML
0.11404649459637378,0.0016666666666666668,0.11722222222222223,all distilled,CML
0.1129172849813804,0.0016666666666666668,0.11777777777777777,all distilled,CML
0.11227678521838438,0.0016666666666666668,0.11833333333333333,all distilled,CML
0.11171404311591898,0.0016666666666666668,0.11888888888888889,all distilled,CML
0.11159482860006503,0.0016666666666666668,0.11944444444444445,all distilled,CML
0.11139840021162861,0.0016666666666666668,0.12,all distilled,CML
0.11110084098531858,0.0016666666666666668,0.12055555555555555,all distilled,CML
0.11019315093802245,0.0016666666666666668,0.12111111111111111,all distilled,CML
0.10982348255336241,0.0016666666666666668,0.12166666666666667,all distilled,CML
0.10956634055399372,0.0016666666666666668,0.12222222222222222,all distilled,CML
0.10928959043389536,0.0016666666666666668,0.12277777777777778,all distilled,CML
0.1083568193550675,0.0016666666666666668,0.12333333333333334,all distilled,CML
0.10833351259061544,0.0016666666666666668,0.1238888888888889,all distilled,CML
0.10762678385379609,0.0016666666666666668,0.12444444444444444,all distilled,CML
0.10729488205117149,0.0016666666666666668,0.125,all distilled,CML
0.1062169836918394,0.0016666666666666668,0.12555555555555556,all distilled,CML
0.1061784648289898,0.0016666666666666668,0.12611111111111112,all distilled,CML
0.10583680879000368,0.0016666666666666668,0.12666666666666668,all distilled,CML
0.10582984206313273,0.0016666666666666668,0.1272222222222222,all distilled,CML
0.10572730505538452,0.0016666666666666668,0.12777777777777777,all distilled,CML
0.10543565420726714,0.0016666666666666668,0.12833333333333333,all distilled,CML
0.10537597691711376,0.0016666666666666668,0.1288888888888889,all distilled,CML
0.10478738447229213,0.0016666666666666668,0.12944444444444445,all distilled,CML
0.10475182882940343,0.0016666666666666668,0.13,all distilled,CML
0.10469805126749226,0.0016666666666666668,0.13055555555555556,all distilled,CML
0.10467583686794957,0.0016666666666666668,0.13111111111111112,all distilled,CML
0.10377005803262418,0.0016666666666666668,0.13166666666666665,all distilled,CML
0.10331421135323313,0.0016666666666666668,0.1322222222222222,all distilled,CML
0.10299364770249353,0.0016666666666666668,0.13277777777777777,all distilled,CML
0.10271457714312918,0.0016666666666666668,0.13333333333333333,all distilled,CML
0.10256813331446299,0.0016666666666666668,0.1338888888888889,all distilled,CML
0.10256716282939127,0.0016666666666666668,0.13444444444444445,all distilled,CML
0.10136058389181385,0.0016666666666666668,0.135,all distilled,CML
0.10115300456666843,0.0016666666666666668,0.13555555555555557,all distilled,CML
0.10019970662312347,0.0016666666666666668,0.1361111111111111,all distilled,CML
0.10015910431929326,0.0016666666666666668,0.13666666666666666,all distilled,CML
0.10011423164864042,0.0016666666666666668,0.13722222222222222,all distilled,CML
0.0999839448651712,0.0016666666666666668,0.13777777777777778,all distilled,CML
0.09997780939703382,0.0016666666666666668,0.13833333333333334,all distilled,CML
0.09995616340901492,0.0016666666666666668,0.1388888888888889,all distilled,CML
0.09990389563820817,0.0016666666666666668,0.13944444444444445,all distilled,CML
0.09987888788948829,0.0016666666666666668,0.14,all distilled,CML
0.09937840709159204,0.0016666666666666668,0.14055555555555554,all distilled,CML
0.09925294821329916,0.0016666666666666668,0.1411111111111111,all distilled,CML
0.09900560636160366,0.0016666666666666668,0.14166666666666666,all distilled,CML
0.09870073168422694,0.0016666666666666668,0.14222222222222222,all distilled,CML
0.09840704913946097,0.0016666666666666668,0.14277777777777778,all distilled,CML
0.09757535541881934,0.0016666666666666668,0.14333333333333334,all distilled,CML
0.09746671940940443,0.0016666666666666668,0.1438888888888889,all distilled,CML
