label,group,y,value,density,y_top
R1-Llama student,distilled,2,0.21505791505791483,0.24011804608994777,2.1392684667321697
R1-Llama student,distilled,2,0.2229729729729728,0.23353672466620587,2.1354513003063995
R1-Llama student,distilled,2,0.23088803088803078,0.22653606373602184,2.1313909169668928
R1-Llama student,distilled,2,0.23880308880308854,0.21871060386747032,2.126852150243133
R1-Llama student,distilled,2,0.2467181467181465,0.20955943785133083,2.121544473953772
R1-Llama student,distilled,2,0.2546332046332045,0.1985654557614346,2.115167964341632
R1-Llama student,distilled,2,0.26254826254826247,0.18527419090847272,2.1074590307269143
R1-Llama student,distilled,2,0.2704633204633202,0.16978350772737874,2.0984744344818798
R1-Llama student,distilled,2,0.2783783783783782,0.1524212437892164,2.0884043213977455
R1-Llama student,distilled,2,0.2862934362934362,0.133855046105755,2.077635926741338
R1-Llama student,distilled,2,0.29420849420849393,0.11510285969710345,2.06675965862432
R1-Llama student,distilled,2,0.3021235521235519,0.09738154419162522,2.0564812956311425
R1-Llama student,distilled,2,0.3100386100386099,0.08169528856829515,2.0473832673696113
R1-Llama student,distilled,2,0.31795366795366786,0.06876764389592427,2.039885233459636
R1-Llama student,distilled,2,0.3258687258687256,0.059023424352111845,2.0342335861242247
R1-Llama student,distilled,2,0.3337837837837836,0.05229212003106124,2.0303294296180154
R1-Llama student,distilled,2,0.34169884169884157,0.04788019344377714,2.0277705121973906
R1-Llama student,distilled,2,0.3496138996138993,0.04504681390425646,2.026127152064469
R1-Llama student,distilled,2,0.3575289575289573,0.04304540182443599,2.024966333058173
R1-Llama student,distilled,2,0.3654440154440153,0.04124604867944773,2.0239227082340796
R1-Llama student,distilled,2,0.37335907335907326,0.03928525090267275,2.0227854455235503
R1-Llama student,distilled,2,0.381274131274131,0.03708990404315237,2.0215121443450284
R1-Llama student,distilled,2,0.389189189189189,0.034755689697488115,2.020158300024543
R1-Llama student,distilled,2,0.39710424710424697,0.0324728441212497,2.018834249590325
R1-Llama student,distilled,2,0.40501930501930494,0.03040953897774383,2.0176375326070914
R1-Llama student,distilled,2,0.4129343629343627,0.028615752082509664,2.0165971362078556
R1-Llama student,distilled,2,0.4208494208494207,0.027032993297642076,2.0156791361126323
R1-Llama student,distilled,2,0.42876447876447865,0.025515215838726214,2.0147988251864613
R1-Llama student,distilled,2,0.4366795366795364,0.023874337239526502,2.0138471155989253
R1-Llama student,distilled,2,0.4445945945945944,0.02200195207644278,2.0127611322043366
R1-Llama student,distilled,2,0.45250965250965236,0.01989153293345306,2.011537089101403
R1-Llama student,distilled,2,0.4604247104247101,0.01763076851548457,2.010225845738981
R1-Llama student,distilled,2,0.4683397683397683,0.015375061317306586,2.008917535564038
R1-Llama student,distilled,2,0.47625482625482607,0.01326297223752004,2.0076925238977616
R1-Llama student,distilled,2,0.4841698841698838,0.011355480298561017,2.0065861785731656
R1-Llama student,distilled,2,0.492084942084942,0.009645695698880224,2.0055945035053506
R1-Llama student,distilled,2,0.5,0.008087052060248656,2.0046904901949443
Qwen14B student,distilled,3,-1.55,7.440121322072993e-19,3
Qwen14B student,distilled,3,-1.542084942084942,4.998923484673932e-18,3
Qwen14B student,distilled,3,-1.5341698841698843,1.0754601898042149e-17,3
Qwen14B student,distilled,3,-1.5262548262548263,0,3
Qwen14B student,distilled,3,-1.5183397683397684,0,3
Qwen14B student,distilled,3,-1.5104247104247104,9.365470040808652e-19,3
Qwen14B student,distilled,3,-1.5025096525096526,0,3
Qwen14B student,distilled,3,-1.4945945945945946,1.121254378084494e-20,3
Qwen14B student,distilled,3,-1.4866795366795367,1.721961073161137e-19,3
Qwen14B student,distilled,3,-1.4787644787644787,0,3
Qwen14B student,distilled,3,-1.470849420849421,2.0428336269782666e-17,3
Qwen14B student,distilled,3,-1.462934362934363,0,3
Qwen14B student,distilled,3,-1.455019305019305,3.502545418589232e-18,3
Qwen14B student,distilled,3,-1.4471042471042472,0,3
Qwen14B student,distilled,3,-1.4391891891891893,6.787456074123257e-19,3
